,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,avg_daily_high_range,avg_daily_low_range,Earnings_BMO,Earnings_AMC,DJIA
A,24.42,2.68,0.003,321920000.0,-0.015300000000000001,21070000000.0,19.41,3.37,-0.051699999999999996,317890000.0,-0.1233,868000000.0,2.32,0.73,0.878,0.0137,-0.09230000000000001,4910000000.0,4.29,0.273,0.0042,1.52,0.0592,14.36,4.56,0.1092,0.037000000000000005,79.33,-0.0557,6.98,9.38,0.1051,0.069,-0.0296,0.66,29.31,0.326,0.136,-0.1285,1.29,0.0101,2.7,0.048,0.5479999999999999,0.0834,2.2,14800,3.3,0.08800000000000001,0.192,45.7,1,0.39,0.235,0.064,1.09,63.27,1,0.39,2019-11-19,0.581,2850000.0,65.46,1.8,-0.0354,-0.0213,-0.012199999999999999,3119738.0,0.0346,0.0296,0.031400000000000004,0,1,0
AA,977.24,0.03,0.001,195690000.0,0.0434,5550000000.0,8.01,3.54,0.0,185990000.0,-0.1158,10000000.0,244.31,0.65,0.862,0.028999999999999998,-0.3392,13230000000.0,0.42,1.585,-0.006999999999999999,1.46,-0.39549999999999996,28.04,1.01,-0.0304,-0.001,51.53,-0.48,5.22,5.43,0.04,-0.002,0.0662,,,,0.106,-0.5455,,,0.8,,0.251,0.1331,1.53,14600,1.4,0.14400000000000002,0.121,46.6,1,0.35,-1.365,-0.001,1.53,26.24,1,0.35,2019-01-16,,3690000.0,28.34,2.0,0.0206,-0.10949999999999999,-0.3325,5652866.0,0.08,0.052199999999999996,0.051100000000000007,0,1,0
AAL,6.94,4.62,0.002,477010000.0,0.0,15280000000.0,5.63,5.69,0.0438,457590000.0,-0.19190000000000002,2180000000.0,0.79,1.11,0.8220000000000001,0.0512,-0.17420000000000002,44200000000.0,0.35,0.162,-0.0152,2.33,-0.1566,-1.23,,0.2351,0.026000000000000002,48.83,-0.38780000000000003,10.18,3.15,0.0874,-1.67,-0.0022,0.4,,0.18899999999999997,0.153,-0.45770000000000005,1.34,0.0125,0.5,0.11199999999999999,0.615,0.1121,1.74,126600,0.6,0.054000000000000006,0.063,45.19,1,,-0.457,0.031,0.93,30.06,1,,2019-01-24,0.138,10050000.0,32.04,2.0,-0.0225,-0.0781,-0.1946,9344567.0,0.0659,0.0554,0.053,1,0,0
AAP,34.34,4.63,0.001,74110000.0,0.026600000000000002,11770000000.0,19.5,8.14,0.0027,72680000.0,-0.1073,343200000.0,1.9,1.13,0.9990000000000001,0.0429,-0.0524,9510000000.0,1.24,-0.278,-0.050300000000000004,2.62,0.1689,49.53,3.21,0.1474,0.064,195.65,0.48350000000000004,13.09,12.13,0.18059999999999998,0.155,0.0086,0.24,16.13,-0.03,0.086,-0.1469,1.08,0.0015,0.5,0.086,0.43799999999999994,0.5547,4.97,40000,1.6,0.043,0.064,46.11,1,0.0,-0.009000000000000001,0.057999999999999996,1.2,162.85,1,0.29,2019-02-12,0.032,1190000.0,158.81,2.3,-0.013600000000000001,-0.0501,0.08710000000000001,1423037.0,-0.0248,0.0318,0.032,1,0,0
AAPL,12.21,12.15,0.0007000000000000001,4870000000.0,-0.050499999999999996,722240000000.0,10.13,14.64,-0.1491,4740000000.0,-0.1978,61030000000.0,0.94,4.68,0.613,0.0095,-0.3611,265600000000.00003,2.72,0.326,-0.0226,1.03,-0.2003,22.31,6.65,0.1018,0.16,219.94,-0.1392,13.61,10.89,0.13,0.48700000000000004,-0.0601,2.92,14.33,0.165,0.266,-0.365,1.22,0.0197,1.1,0.092,0.38299999999999995,0.0441,6.41,132000,1.1,0.196,0.267,34.53,1,1.07,0.3,0.22399999999999998,1.31,142.19,1,0.87,2019-01-31,0.22699999999999998,43570000.0,148.26,2.1,-0.08380000000000001,-0.19210000000000002,-0.23190000000000002,57275863.0,0.042699999999999995,0.026699999999999998,0.0341,0,1,1
ABBV,17.54,5.08,0.001,1520000000.0,-0.009300000000000001,135190000000.0,10.22,8.72,-0.1597,1490000000.0,-0.049,7930000000.0,1.04,1.93,0.722,0.0207,-0.0723,32189999999.999996,4.2,-0.024,-0.0003,4.51,-0.057300000000000004,-1.93,,0.09609999999999999,0.11199999999999999,99.83,-0.10890000000000001,5.79,15.39,0.1684,,-0.0338,4.28,19.99,0.012,0.17800000000000002,-0.2923,1.46,0.0481,1.1,0.09,0.763,0.1493,3.12,30000,1.2,0.177,0.33,54.84,1,,0.7829999999999999,0.23399999999999999,1.29,86.29,1,,2019-02-01,0.675,6870000.0,89.07,2.6,0.0181,0.0292,-0.0493,8880634.0,0.0322,0.029500000000000002,0.036699999999999997,1,0,0
ABC,14.93,4.97,0.002,215590000.0,0.009399999999999999,16000000000.0,9.95,7.46,-0.34700000000000003,154690000.0,-0.1663,1100000000.0,1.57,1.5,0.6809999999999999,0.0297,-0.18469999999999998,167940000000.0,0.1,2.024,-0.0258,3.24,-0.1489,13.62,5.45,0.09789999999999999,0.044000000000000004,92.5,-0.2137,11.56,6.42,0.09480000000000001,0.5489999999999999,-0.0024,1.6,21.56,0.18899999999999997,0.171,-0.3016,1.08,0.0216,0.5,0.138,0.027999999999999997,0.0701,2.54,21000,0.9,0.107,0.008,35.02,1,1.59,1.7530000000000001,0.01,1.7,73.37,1,1.54,2019-02-05,0.2,1420000.0,74.22,2.4,-0.0462,-0.1189,-0.14400000000000002,2415731.0,0.0116,0.0254,0.0362,1,0,0
ABMD,68.23,4.59,0.02,46520000.0,-0.0070999999999999995,14580000000.0,62.88,4.99,-0.0355,43150000.0,-0.0874,211900000.0,2.36,0.94,0.903,0.0208,-0.265,690200000.0,21.13,1.496,0.026600000000000002,1.31,-0.2175,17.64,17.77,-0.013300000000000001,0.23800000000000002,446.1,0.6007,8.82,35.52,0.289,0.268,-0.035699999999999996,,94.19,0.514,0.18899999999999997,-0.3182,0.58,,6.1,0.303,0.8320000000000001,0.5889,16.31,1143,6.9,0.369,0.27399999999999997,47.35,1,0.0,1.026,0.276,0.91,302.29,1,0.0,2019-01-31,0.0,684980.0,313.44,1.5,0.0062,-0.0527,-0.1393,623759.0,0.0369,0.0449,0.0536,1,0,0
ABT,51.6,1.32,0.002,1800000000.0,-0.035699999999999996,122740000000.0,21.27,3.2,-0.1638,1740000000.0,-0.08289999999999999,2330000000.0,4.41,0.81,0.753,0.0085,-0.0546,30400000000.0,4.04,0.446,0.0083,2.0,0.1105,17.45,3.9,0.1099,0.012,79.58,0.156,4.19,16.26,0.11689999999999999,0.028999999999999998,-0.0583,1.28,41.47,0.474,0.022000000000000002,-0.0909,1.26,0.018799999999999997,1.1,0.075,0.58,0.2254,2.28,99000,1.4,0.121,0.102,45.46,1,0.77,0.04,0.028999999999999998,1.07,66.22,1,0.63,2019-01-23,2.2030000000000003,7400000.0,68.11,1.8,-0.0275,-0.028399999999999998,0.0426,7894740.0,0.0285,0.0291,0.030299999999999997,1,0,0
ACN,20.8,6.78,0.002,683120000.0,0.004699999999999999,96370000000.0,17.9,7.88,-0.10220000000000001,663340000.0,-0.15439999999999998,4390000000.0,2.39,1.57,0.737,0.009000000000000001,-0.18989999999999999,42150000000.0,2.29,0.215,-0.0151,2.32,-0.14400000000000002,19.85,7.11,0.0909,0.17300000000000001,174.62,-0.0872,6.39,22.07,0.08689999999999999,0.396,0.0004,2.92,26.05,0.06,0.426,-0.1968,1.09,0.0207,1.3,0.065,0.301,0.0636,4.43,459000,1.3,0.073,0.142,40.35,1,0.0,0.096,0.1,0.88,135.79,1,0.0,2019-12-20,0.401,2560000.0,141.07,2.3,-0.052300000000000006,-0.09230000000000001,-0.1158,2252124.0,0.038900000000000004,0.0227,0.0296,1,0,0
ADBE,39.92,5.67,0.0031,496790000.0,0.004699999999999999,112370000000.0,23.49,9.63,-0.034300000000000004,487090000.0,-0.1139,2820000000.0,1.76,1.61,0.879,0.011399999999999999,-0.1638,9030000000.0,12.44,0.45899999999999996,-0.0033,1.22,-0.0737,18.08,12.51,0.23929999999999998,0.14400000000000002,290.04,0.2494,9.95,22.73,0.22649999999999998,0.25,-0.0002,,34.35,0.153,0.16699999999999998,-0.1852,1.23,,1.7,0.106,0.868,0.2612,9.74,17973,1.7,0.244,0.28800000000000003,48.21,1,0.21,0.599,0.24,0.89,215.7,1,0.21,2019-12-13,0.0,4540000.0,226.19,2.0,-0.0144,-0.0429,-0.0729,4026512.0,0.048600000000000004,0.034,0.043,0,1,0
ADI,20.11,4.11,0.001,378900000.0,-0.0313,31330000000.0,13.95,5.93,-0.2711,368720000.0,-0.1157,1540000000.0,2.15,1.28,0.9229999999999999,0.0308,-0.09949999999999999,6200000000.0,5.05,0.99,0.0134,3.24,-0.1422,29.61,2.79,0.07629999999999999,0.07200000000000001,101.71,-0.0953,,,0.0934,0.139,-0.0366,1.92,21.11,0.139,0.10300000000000001,-0.2018,1.15,0.0232,1.1,0.187,0.6829999999999999,0.07919999999999999,2.87,15800,1.5,0.036000000000000004,0.303,42.76,1,0.58,0.255,0.24,0.99,80.73,1,0.57,2019-11-20,0.47100000000000003,3510000.0,82.69,2.2,-0.0388,-0.042300000000000004,-0.10310000000000001,3459179.0,0.024300000000000002,0.031200000000000002,0.0332,1,0,0
ADM,11.53,3.62,0.002,577340000.0,0.0183,24080000000.0,11.43,3.65,-0.0968,559090000.0,-0.10949999999999999,2049999999.9999998,,0.93,0.785,0.0179,-0.1732,64459999999.99999,0.37,0.10300000000000001,-0.002,2.63,-0.0999,33.61,1.24,0.0264,0.057,53.64,0.048499999999999995,,,-0.08800000000000001,0.122,0.0181,1.34,,0.179,0.042,-0.1989,0.93,0.0321,0.9,0.054000000000000006,0.063,0.06509999999999999,1.04,31300,1.7,0.066,0.03,39.36,1,0.41,1.8119999999999998,0.035,0.82,40.77,1,0.35,2019-02-05,0.327,3820000.0,41.71,2.2,-0.0241,-0.0808,-0.1054,3117107.0,0.0231,0.018799999999999997,0.0264,1,0,0
ADP,33.6,3.91,0.002,450010000.0,0.0116,59060000000.0,21.98,5.97,-0.2229,437110000.0,-0.1097,1730000000.0,2.02,1.18,0.7979999999999999,0.0108,-0.13419999999999999,13570000000.0,4.35,-0.049,0.0014000000000000002,1.9,-0.018500000000000003,10.71,12.25,0.1328,0.042,158.33,0.1193,3.59,36.51,0.1666,0.397,0.0009,3.16,52.38,0.09699999999999999,0.244,-0.1451,1.0,0.0241,1.0,0.071,0.484,0.21960000000000002,4.01,57000,1.0,0.08,0.16899999999999998,46.11,1,0.43,0.242,0.127,0.85,126.21,1,0.43,2019-01-30,0.642,2490000.0,131.24,2.4,-0.0143,-0.0574,-0.030699999999999998,2108671.0,0.039900000000000005,0.0229,0.0311,1,0,0
ADS,10.12,15.98,0.021,56210000.0,0.0646,9090000000.0,6.49,24.9,-0.4311,53030000.0,-0.18760000000000002,884600000.0,0.84,7.0,0.976,0.0268,-0.3177,7840000000.0,1.16,0.764,-0.0332,2.36,-0.3206,41.81,3.87,0.09720000000000001,0.032,248.39,-0.3782,64.06,2.52,0.1208,0.45899999999999996,0.0774,2.28,3.59,0.145,0.047,-0.419,1.75,0.0141,2.4,0.162,0.461,0.1341,7.16,20000,2.4,0.018000000000000002,0.22699999999999998,43.71,1,10.75,0.285,0.121,1.28,151.45,1,7.32,2019-01-17,0.13,604090.0,161.7,2.1,-0.013999999999999999,-0.1338,-0.24850000000000003,771237.0,0.0677,0.042699999999999995,0.043,1,0,0
ADSK,,-1.61,0.0017000000000000001,222670000.0,0.0068000000000000005,28560000000.0,40.29,3.18,-0.0756,217920000.0,-0.1334,-351300000.0,,0.42,0.9840000000000001,0.0285,-0.17170000000000002,2390000000.0,11.97,-0.044000000000000004,-0.0095,2.5,-0.034,-1.55,,2.2757,-0.08199999999999999,166.0,0.1728,4.84,26.49,,1.3230000000000002,-0.0026,,339.64,-0.354,-0.414,-0.1979,1.81,,0.8,-0.023,0.882,0.2632,6.01,8800,0.8,0.28300000000000003,-0.10400000000000001,48.03,1,,0.802,-0.134,0.99,121.85,1,,2019-11-20,,2490000.0,128.28,1.8,-0.0116,-0.029900000000000003,-0.055999999999999994,2469590.0,0.0528,0.042699999999999995,0.0473,0,1,0
AEE,18.83,3.43,0.001,258589999.99999997,-0.0109,16700000000.0,19.73,3.27,-0.06509999999999999,243460000.0,-0.0746,841000000.0,2.43,0.33,0.737,0.0208,0.0141,6270000000.0,2.66,0.033,0.0291,3.37,0.049400000000000006,31.36,2.06,-0.032799999999999996,0.026000000000000002,68.47,0.1119,0.04,1518.39,0.0775,0.09300000000000001,-0.0098,1.9,10.08,0.055,0.066,-0.08960000000000001,0.22,0.0294,0.4,0.013000000000000001,0.846,0.2447,1.57,8615,0.6,0.001,0.226,42.48,1,1.15,0.23199999999999998,0.109,1.12,63.69,1,0.99,2019-01-30,0.649,1500000.0,64.59,2.7,-0.0416,-0.0381,0.0404,1691099.0,0.0141,0.0208,0.024700000000000003,1,0,0
AEP,18.73,3.92,0.0015,512419999.99999994,-0.0213,37630000000.0,17.8,4.13,-0.0023,492380000.0,-0.0622,1930000000.0,3.21,0.72,0.743,0.0179,0.045899999999999996,16210000000.0,2.32,2.069,-0.0001,3.05,0.0325,38.64,1.9,0.0464,0.03,78.94,0.022799999999999997,1.86,39.51,0.0583,0.105,-0.0174,2.68,9.96,0.081,0.063,-0.09390000000000001,0.05,0.0365,0.5,0.006,0.7929999999999999,0.17120000000000002,1.7,17666,0.6,0.055999999999999994,0.177,39.52,1,1.31,0.057999999999999996,0.121,0.99,72.77,1,1.1,2019-01-24,0.623,2890000.0,73.44,2.0,-0.045700000000000005,-0.0332,0.0339,2857478.0,0.0092,0.0195,0.024,1,0,0
AES,41.01,0.36,0.002,692490000.0,0.0245,10140000000.0,11.2,1.31,0.0259,658420000.0,-0.061500000000000006,239000000.0,4.1,0.35,0.985,0.0165,0.0076,10760000000.0,0.94,,-0.0202,1.57,0.1288,4.99,2.93,0.08199999999999999,,16.17,0.3468,2.29,6.38,0.1,,0.0124,0.55,,0.11,-0.008,-0.1007,0.88,0.037599999999999995,1.1,-0.09300000000000001,0.239,0.484,0.42,21000,1.2,0.053,,48.3,1,5.87,-0.308,,0.87,14.17,1,5.47,2019-02-05,,6910000.0,14.64,2.7,-0.02,-0.0288,0.0852,6038446.0,0.0332,0.0256,0.0292,1,0,0
AFL,11.47,3.92,0.001,777470000.0,-0.0013,34920000000.0,10.75,4.18,-0.0102,744260000.0,-0.025,3060000000.0,1.35,0.94,0.705,0.016,-0.0416,22080000000.0,1.58,0.042,-0.0141,3.08,0.0437,30.29,1.48,0.0225,0.035,46.86,0.0182,4.41,10.18,0.085,0.20800000000000002,-0.013999999999999999,1.04,6.44,0.019,0.09699999999999999,-0.0678,0.82,0.0232,,-0.038,,0.0848,1.13,11318,,0.012,0.203,54.27,1,0.23,0.231,0.225,1.22,44.37,1,0.23,2019-01-23,0.157,3880000.0,44.92,2.8,0.019299999999999998,0.0183,-0.002,4742839.0,0.0124,0.019299999999999998,0.026099999999999998,0,1,0
AGN,,-0.58,0.0027,341550000.0,0.0746,48690000000.0,8.71,16.38,0.013000000000000001,336240000.0,-0.09820000000000001,-205900000.0,,4.12,0.883,0.0101,-0.2631,16030000000.000002,3.04,-5.431,0.0069,1.31,-0.1721,207.99,0.69,-0.0077,0.02,211.11,-0.162,3.54,40.25,0.0601,0.031,0.0667,2.88,10.16,0.0718,-0.021,-0.2763,1.28,0.0202,0.8,0.21899999999999997,0.8640000000000001,0.1329,4.82,17800,0.9,-0.03,0.163,47.88,1,0.33,0.991,0.138,1.07,136.07,1,0.32,2019-01-29,0.426,2580000.0,142.57,2.0,0.001,-0.0818,-0.1552,2756642.0,0.0478,0.0319,0.0352,1,0,0
AIG,55.65,0.72,0.0007000000000000001,886310000.0,0.0216,35610000000.0,8.32,4.83,0.0,883820000.0,-0.0695,699000000.0,1.8,0.55,0.9229999999999999,0.021400000000000002,-0.2457,47650000000.0,0.75,1.945,-0.0046,2.22,-0.2548,65.44,0.61,1.0681,-0.012,53.6,-0.3321,3.09,12.99,0.3091,-0.098,0.0195,1.28,,-0.20199999999999999,0.019,-0.3823,1.38,0.0319,,-0.071,,0.1112,1.46,49800,,-0.026000000000000002,0.063,52.93,1,0.59,0.28800000000000003,-0.127,0.56,38.75,1,0.59,2019-01-30,,8530000.0,40.18,2.2,0.048799999999999996,-0.0239,-0.2053,4811097.0,0.0369,0.0271,0.0412,0,1,0
AIV,,-0.15,0.002,163610000.0,-0.0149,7010000000.0,306.21,0.14,-0.0929,154100000.0,-0.09,-23700000.0,,0.04,,0.0189,-0.017,995600000.0,7.04,-1.358,0.0072,1.94,0.013999999999999999,12.77,3.36,-0.9666,0.146,46.5,-0.0147,0.35,120.93,0.071,0.556,-0.023,1.52,43.97,0.379,0.037000000000000005,-0.1005,0.5,0.0355,,0.01,0.657,0.129,1.1,1350,,-0.048,0.168,40.0,1,1.82,-1.286,0.917,1.16,42.72,1,1.82,2019-01-31,0.257,1500000.0,42.87,2.6,-0.049800000000000004,-0.04650000000000001,0.0031,1742458.0,0.0034999999999999996,0.0233,0.0273,0,1,0
AIZ,14.43,6.27,0.005,64040000.00000001,0.0288,5790000000.0,10.57,8.55,-0.8737999999999999,53640000.0,-0.0704,352400000.0,0.74,0.84,0.951,0.04019999999999999,-0.1595,7420000000.0,0.78,-0.321,-0.0231,4.3,-0.1389,81.99,1.1,0.4139,0.013999999999999999,130.5,-0.091,20.4,4.43,0.19399999999999998,0.11,0.0113,2.4,13.97,0.018000000000000002,0.073,-0.1883,0.64,0.0265,,-0.055,,0.0989,2.38,14750,,0.431,0.07200000000000001,49.7,1,0.38,1.72,0.071,0.61,88.66,1,0.38,2019-02-05,0.23399999999999999,502240.0,90.45,2.2,0.014499999999999999,-0.048,-0.0842,308037.0,0.0202,0.0184,0.0282,0,1,0
AJG,19.98,3.62,0.001,189160000.0,0.0004,13680000000.0,18.43,3.92,-0.17370000000000002,181580000.0,-0.0723,670200000.0,1.36,0.52,0.877,0.0124,-0.0371,6880000000.0,1.99,0.182,-0.0014000000000000002,1.99,0.0943,24.79,2.92,0.1427,0.039,80.33,0.1545,3.2,22.61,0.1467,0.14,-0.0187,1.64,39.99,0.115,0.09,-0.0849,0.94,0.0227,1.1,0.196,0.285,0.1545,1.74,26800,1.1,0.11599999999999999,0.095,46.52,1,0.78,0.133,0.09,1.02,70.54,1,0.69,2019-01-24,0.469,1140000.0,72.32,2.2,-0.012,-0.0341,0.015300000000000001,1159270.0,0.0252,0.0184,0.0232,0,1,0
AKAM,40.48,1.47,0.001,166970000.0,-0.0368,9910000000.0,14.65,4.05,-0.5739,157970000.0,-0.15460000000000002,249500000.0,2.46,1.0,0.922,0.0545,-0.1492,2660000000.0,3.72,-0.21100000000000002,-0.006999999999999999,4.13,-0.20120000000000002,19.02,3.12,0.142,0.044000000000000004,84.06,-0.09949999999999999,10.79,5.5,0.16449999999999998,0.067,-0.0278,,13.43,0.047,0.061,-0.2853,0.68,,2.0,0.127,0.647,0.0385,2.14,7650,2.0,0.07200000000000001,0.10099999999999999,35.93,1,0.49,0.7190000000000001,0.084,1.22,57.7,1,0.27,2019-01-28,0.0,2089999.9999999998,59.38,2.2,-0.067,-0.1067,-0.1761,2551446.0,0.0291,0.0291,0.0339,0,1,0
ALB,11.07,6.89,0.001,108690000.0,-0.0127,8289999999.999999,12.33,6.18,-0.054000000000000006,105720000.0,-0.2257,760300000.0,0.87,1.47,0.975,0.1164,-0.2672,3310000000.0,2.5,0.083,0.0146,8.16,-0.1956,32.88,2.32,0.1401,0.046,120.39,-0.4215,5.9,12.92,0.127,0.094,-0.0108,1.34,,0.043,0.10400000000000001,-0.45020000000000004,1.62,0.0176,1.2,0.04,0.364,0.0605,3.56,5400,1.8,0.03,0.276,34.46,1,0.48,0.145,0.10400000000000001,1.39,72.69,1,0.4,2019-02-06,0.41200000000000003,1510000.0,76.24,2.0,-0.0682,-0.17420000000000002,-0.2011,2089538.0,0.048799999999999996,0.0406,0.0426,0,1,0
ALGN,40.94,4.56,0.003,82230000.0,-0.1165,15350000000.0,31.97,5.84,-0.2581,72650000.0,-0.2078,372200000.0,1.67,1.16,0.8059999999999999,0.0383,-0.5025,1850000000.0,8.28,0.657,-0.0121,1.83,-0.4531,14.89,12.54,0.1989,0.16899999999999998,317.36,-0.1924,7.36,25.37,0.2446,0.267,-0.1085,,64.75,0.40399999999999997,0.267,-0.5318999999999999,1.84,,1.9,0.213,0.746,0.0168,10.61,8715,2.0,0.311,0.24600000000000002,35.13,1,0.0,0.40700000000000003,0.16899999999999998,1.65,184.78,1,0.0,2019-01-23,0.0,1520000.0,186.71,1.7,-0.1056,-0.16570000000000001,-0.3848,2514951.0,0.0104,0.053200000000000004,0.05,0,1,0
ALK,14.63,4.1,0.001,127070000.0,-0.012199999999999999,7620000000.0,9.46,6.34,-0.0482,122790000.0,-0.17629999999999998,507000000.0,1.87,0.64,0.95,0.0753,-0.1003,8160000000.0,0.93,-0.07,0.0449,4.97,-0.0344,30.77,1.95,0.4548,0.07200000000000001,81.87,-0.19640000000000002,10.99,5.46,0.0782,0.22,-0.013999999999999999,1.28,7.93,0.226,0.134,-0.20489999999999997,0.86,0.0213,0.7,0.11199999999999999,0.544,0.0475,2.44,20183,0.7,0.048,0.09300000000000001,43.02,1,0.54,-0.16,0.096,1.24,58.12,1,0.44,2019-01-24,0.19699999999999998,1860000.0,60.0,2.1,-0.0339,-0.0729,-0.0582,2307404.0,0.0323,0.0373,0.0374,1,0,0
ALL,9.44,8.76,0.001,355940000.0,0.0108,29430000000.0,9.11,9.07,-0.1341,343360000.0,-0.06860000000000001,3130000000.0,0.64,1.49,0.7979999999999999,0.0132,-0.1634,40200000000.0,0.73,0.495,0.0059,2.06,-0.1008,61.65,1.34,0.076,0.032,103.57,-0.1894,1.29,63.97,0.1485,0.17300000000000001,0.0005,1.84,7.26,0.083,0.099,-0.2087,0.85,0.0223,,0.028999999999999998,,0.0736,2.11,42460,,0.081,0.106,48.89,1,0.3,0.365,0.09,1.39,80.3,1,0.3,2019-02-06,0.161,2200000.0,82.67,2.3,0.013000000000000001,-0.0524,-0.1207,3061360.0,0.029500000000000002,0.015700000000000002,0.026699999999999998,0,1,0
ALLE,20.92,3.8,0.003,99000000.0,0.0025,7870000000.0,16.03,4.96,-0.0108,94770000.0,-0.1461,364000000.0,1.85,1.22,,0.059800000000000006,-0.1285,2650000000.0,2.97,0.435,-0.0073,7.86,0.0208,6.28,12.66,0.10369999999999999,0.11800000000000001,95.56,-0.009300000000000001,1.92,41.49,0.1128,0.636,-0.0026,0.84,24.96,0.077,0.22399999999999998,-0.15689999999999998,1.1,0.0106,1.2,0.035,0.435,0.0765,2.46,10000,1.8,0.168,0.19399999999999998,38.5,1,2.43,0.292,0.11800000000000001,1.43,79.68,1,2.38,2019-01-24,0.24100000000000002,721210.0,79.5,2.2,-0.045700000000000005,-0.0753,-0.048600000000000004,1034489.0,-0.0023,0.0264,0.031,1,0,0
ALXN,95.58,1.11,0.001,224730000.0,0.0805,23820000000.0,12.18,8.7,-0.047,222670000.0,-0.1552,251800000.0,5.33,1.81,0.9740000000000001,0.0199,-0.22460000000000002,3910000000.0,6.09,0.235,0.01,2.61,-0.1724,41.14,2.58,0.1432,0.011000000000000001,164.35,-0.1517,6.83,15.52,0.1795,0.017,0.08869999999999999,,69.8,0.111,0.047,-0.247,1.22,,2.7,0.256,0.892,0.1452,4.83,2525,3.2,0.195,0.086,47.67,1,0.35,3.4389999999999996,0.039,1.36,100.21,1,0.32,2019-01-23,0.0,1700000.0,106.0,1.8,-0.002,-0.0726,-0.1142,2320510.0,0.057800000000000004,0.041299999999999996,0.0472,1,0,0
AMAT,7.82,4.31,0.006,1000000000.0,0.0681,33780000000.0,7.62,4.42,0.0,954370000.0,-0.121,4430000000.0,0.46,0.79,0.8220000000000001,0.020099999999999996,-0.1341,17250000000.0,1.96,0.361,-0.012199999999999999,1.39,-0.2584,7.02,4.8,0.2994,0.18,48.09,-0.3757,4.02,8.38,0.1698,0.45399999999999996,0.029300000000000003,0.8,13.19,0.83,0.373,-0.45990000000000003,1.62,0.023700000000000002,1.7,0.18100000000000002,0.45299999999999996,0.1705,1.52,21000,2.6,0.011000000000000001,0.278,52.25,1,0.0,-0.003,0.192,1.12,31.54,1,0.78,2019-11-15,0.182,13740000.0,33.7,2.1,0.0329,-0.0023,-0.23129999999999998,15401988.0,0.06849999999999999,0.0464,0.0453,0,1,0
AMD,,-0.54,0.006999999999999999,1020000000.0,0.0863,19310000000.0,30.45,0.62,-0.7868,992790000.0,-0.19870000000000002,-770000000.0,,0.09,0.64,0.11900000000000001,-0.3317,6540000000.0,2.95,-0.758,-0.1137,1.12,0.22579999999999997,1.14,16.67,0.3565,0.091,23.95,0.645,1.04,18.28,0.005600000000000001,0.434,0.029300000000000003,,108.47,0.081,-0.48100000000000004,-0.4435,3.22,,1.4,-0.003,0.371,1.1018000000000001,1.44,8900,1.8,0.044000000000000004,0.077,50.16,1,1.16,0.619,0.055,1.05,17.05,1,1.04,2019-01-23,0.0,105670000.0,19.0,2.5,0.0062,-0.0421,0.0222,111405813.0,0.1144,0.0718,0.0765,0,1,0
AME,22.23,3.06,0.001,238930000.0,0.011000000000000001,16260000000.000002,18.88,3.61,-0.2386,228300000.0,-0.1057,713300000.0,1.49,0.84,0.8740000000000001,0.0212,-0.1475,4720000000.0,3.45,0.161,-0.0048,2.89,-0.0546,19.49,3.49,0.10279999999999999,0.1,86.47,-0.0728,2.17,31.35,0.149,0.188,0.0052,0.56,23.65,0.062,0.114,-0.1693,1.2,0.008199999999999999,1.4,0.052000000000000005,0.33899999999999997,0.07780000000000001,2.11,16900,2.1,0.1,0.217,47.41,1,0.42,0.24,0.171,0.83,65.57,1,0.41,2019-01-31,0.146,1670000.0,68.05,1.6,-0.008199999999999999,-0.0336,-0.0821,1381311.0,0.0378,0.0216,0.0319,1,0,0
AMG,10.95,9.19,0.005,53950000.0,0.036000000000000004,5430000000.0,6.46,15.59,-0.0149,46440000.0,-0.0958,511400000.0,1.79,3.79,0.946,0.0263,-0.2707,2420000000.0,2.25,-0.027999999999999997,-0.029500000000000002,1.83,-0.32,68.14,1.48,0.0562,0.085,144.75,-0.502,8.31,12.12,0.0611,0.19699999999999998,0.0329,1.2,4.65,0.205,0.09300000000000001,-0.5362,1.44,0.011899999999999999,,0.05,,0.1377,3.87,4400,,0.027000000000000003,0.34,49.89,1,0.51,0.055,0.301,0.84,96.43,1,0.51,2019-01-28,0.08199999999999999,668650.0,100.65,1.7,0.0322,-0.0613,-0.29760000000000003,562854.0,0.0438,0.0323,0.042800000000000005,1,0,0
